epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
60,555.104,0.97267,1.53672,0.70353,1.12618,0,0.92744,0.95361,0.96456,0.70265,0.92242,0.94845,0.95776,0.54881,1.0562,1.72127,0.5741,1.24983,0,0.0012212,0.0012212,0.0012212
61,564.251,1.03022,1.61694,0.735,1.17022,0,0.94227,0.95876,0.96743,0.76024,0.9524,0.96907,0.98094,0.68291,0.91157,1.38843,0.50065,1.14723,0,0.001208,0.001208,0.001208
62,573.463,1.00391,1.60128,0.72847,1.16029,0,0.96073,0.96392,0.97584,0.7736,0.97154,0.97423,0.98235,0.68532,0.86559,1.3801,0.47581,1.12976,0,0.0011948,0.0011948,0.0011948
63,582.511,1.00403,1.55185,0.7029,1.15897,0,0.92177,0.95361,0.97012,0.74523,0.92675,0.95876,0.97356,0.67087,0.90642,1.47862,0.52589,1.18191,0,0.0011816,0.0011816,0.0011816
64,591.704,0.96573,1.47306,0.66922,1.14338,0,0.93698,0.97423,0.9738,0.74504,0.93698,0.97423,0.97564,0.66639,0.89763,1.38587,0.53111,1.14517,0,0.0011684,0.0011684,0.0011684
65,600.932,1.02791,1.5258,0.70785,1.17272,0,0.90771,0.95876,0.95722,0.72664,0.91259,0.96392,0.96358,0.58569,1.00008,1.75184,0.59079,1.21225,0,0.0011552,0.0011552,0.0011552
66,610.076,0.98277,1.51503,0.69279,1.13859,0,0.93567,0.97938,0.96792,0.75123,0.93567,0.97938,0.96792,0.67747,0.95761,1.34072,0.55182,1.17642,0,0.001142,0.001142,0.001142
67,619.19,0.95994,1.52006,0.67569,1.12858,0,0.95873,0.95798,0.973,0.73107,0.95357,0.95283,0.96774,0.61512,0.96723,1.55239,0.47681,1.20588,0,0.0011288,0.0011288,0.0011288
68,628.497,0.9893,1.48471,0.69041,1.15451,0,0.96907,0.96907,0.97847,0.76136,0.96907,0.96907,0.97703,0.65718,0.93887,1.42128,0.50824,1.18041,0,0.0011156,0.0011156,0.0011156
69,637.712,0.99013,1.5647,0.69403,1.15917,0,0.90401,0.95876,0.96336,0.75041,0.90401,0.95876,0.96381,0.66808,0.87019,1.35945,0.52269,1.15108,0,0.0011024,0.0011024,0.0011024
70,646.848,0.96837,1.47537,0.67116,1.13176,0,0.91638,0.96392,0.96438,0.75609,0.92692,0.97423,0.97387,0.67109,0.89425,1.36146,0.48437,1.13301,0,0.0010892,0.0010892,0.0010892
71,655.988,0.94479,1.46656,0.65716,1.12138,0,0.90292,0.95882,0.95992,0.76731,0.93058,0.96735,0.96952,0.66118,0.88186,1.37821,0.48708,1.13721,0,0.001076,0.001076,0.001076
72,665.029,0.9415,1.45794,0.65997,1.13753,0,0.91133,0.96392,0.96201,0.75233,0.9162,0.96907,0.96685,0.67929,0.96023,1.33043,0.52978,1.19411,0,0.0010628,0.0010628,0.0010628
73,674.324,0.96411,1.51119,0.65321,1.13318,0,0.9641,0.96895,0.97534,0.75565,0.96922,0.97402,0.97818,0.65771,0.93861,1.41055,0.48874,1.1721,0,0.0010496,0.0010496,0.0010496
74,683.411,0.94216,1.5152,0.64835,1.12169,0,0.93987,0.97423,0.97832,0.76603,0.94991,0.98454,0.98126,0.6655,0.92068,1.42997,0.51196,1.15122,0,0.0010364,0.0010364,0.0010364
75,692.636,0.97628,1.50923,0.65976,1.12788,0,0.94037,0.97552,0.98097,0.75102,0.94037,0.97552,0.978,0.67099,0.93521,1.36941,0.4915,1.17674,0,0.0010232,0.0010232,0.0010232
76,701.77,0.96942,1.52838,0.67038,1.14691,0,0.93042,0.96493,0.97085,0.75292,0.95342,0.98454,0.98401,0.66133,0.92719,1.50608,0.48859,1.16922,0,0.00101,0.00101,0.00101
77,710.856,0.9695,1.5502,0.66067,1.14344,0,0.94443,0.96358,0.97805,0.75817,0.95452,0.97369,0.98588,0.69225,0.95421,1.32754,0.45806,1.17644,0,0.0009968,0.0009968,0.0009968
78,720.021,0.90973,1.43966,0.62686,1.10274,0,0.96379,0.96042,0.97397,0.77865,0.9793,0.97556,0.98813,0.70104,0.88929,1.30486,0.48038,1.16271,0,0.0009836,0.0009836,0.0009836
79,729.084,0.94797,1.46698,0.64572,1.12546,0,0.96916,0.97199,0.98321,0.77763,0.97944,0.9823,0.99318,0.70284,0.94687,1.3159,0.53919,1.1852,0,0.0009704,0.0009704,0.0009704
80,738.167,0.92093,1.46238,0.6173,1.10526,0,0.96429,0.97423,0.97741,0.78418,0.97959,0.98969,0.98992,0.70394,0.84563,1.29174,0.41344,1.10172,0,0.0009572,0.0009572,0.0009572
81,747.329,0.96502,1.50386,0.67407,1.13251,0,0.94851,0.95361,0.9686,0.74776,0.95364,0.95876,0.97165,0.67331,0.91344,1.3408,0.48093,1.1693,0,0.000944,0.000944,0.000944
82,756.442,0.94313,1.45097,0.61524,1.13033,0,0.96954,0.9845,0.98587,0.75471,0.97462,0.98965,0.99178,0.66811,0.93809,1.37124,0.43314,1.15816,0,0.0009308,0.0009308,0.0009308
83,765.51,0.94943,1.42,0.62285,1.11611,0,0.94075,0.9821,0.97896,0.7269,0.96399,0.96587,0.98073,0.60068,0.98134,1.58908,0.48381,1.21269,0,0.0009176,0.0009176,0.0009176
84,774.627,0.92022,1.41365,0.61115,1.11246,0,0.96136,0.95876,0.97945,0.76921,0.96906,0.96856,0.98347,0.67214,0.84923,1.3895,0.44211,1.11343,0,0.0009044,0.0009044,0.0009044
85,783.824,0.94452,1.4584,0.63973,1.13465,0,0.97377,0.95693,0.97276,0.77114,0.98285,0.97423,0.9892,0.697,0.8647,1.32108,0.47105,1.11088,0,0.0008912,0.0008912,0.0008912
86,792.846,0.94842,1.51058,0.65052,1.12181,0,0.95873,0.97938,0.97068,0.767,0.96417,0.98454,0.97997,0.69486,0.85036,1.32026,0.44969,1.11151,0,0.000878,0.000878,0.000878
87,801.961,0.93015,1.46481,0.634,1.11436,0,0.84248,0.96492,0.95384,0.72665,0.84335,0.96392,0.95662,0.65227,0.89397,1.38457,0.6259,1.13502,0,0.0008648,0.0008648,0.0008648
88,811.09,0.96042,1.49351,0.64601,1.1317,0,0.93913,0.99485,0.97897,0.78171,0.94134,0.99268,0.98214,0.6896,0.84735,1.40174,0.43289,1.09358,0,0.0008516,0.0008516,0.0008516
89,820.233,0.94467,1.47569,0.64355,1.10796,0,0.97436,0.97938,0.97843,0.7715,0.97949,0.98454,0.98742,0.67023,0.89724,1.33968,0.46062,1.13652,0,0.0008384,0.0008384,0.0008384
90,829.254,0.91716,1.47443,0.63375,1.11585,0,0.98213,0.95876,0.97454,0.76758,0.99269,0.96907,0.98717,0.66937,0.90446,1.38736,0.45598,1.13092,0,0.0008252,0.0008252,0.0008252
91,838.311,0.93978,1.50123,0.63084,1.12445,0,0.96919,0.97299,0.97675,0.77777,0.97433,0.97815,0.98329,0.64942,0.89874,1.42763,0.42414,1.11502,0,0.000812,0.000812,0.000812
92,847.416,0.91429,1.40006,0.5917,1.1076,0,0.94717,0.97423,0.97726,0.7899,0.95719,0.98454,0.9847,0.70465,0.82288,1.26433,0.41951,1.07181,0,0.0007988,0.0007988,0.0007988
93,856.696,0.91482,1.4426,0.62407,1.11714,0,0.94819,0.98454,0.98566,0.76153,0.94819,0.98454,0.98566,0.68396,0.93572,1.36021,0.45466,1.16556,0,0.0007856,0.0007856,0.0007856
94,865.794,0.95194,1.48412,0.64435,1.12538,0,0.94451,0.96515,0.97292,0.78409,0.95964,0.98061,0.9857,0.70735,0.85046,1.27497,0.41797,1.11589,0,0.0007724,0.0007724,0.0007724
95,874.863,0.93189,1.48386,0.63255,1.11677,0,0.97445,0.98301,0.98035,0.79139,0.97956,0.98817,0.99039,0.6898,0.83185,1.32814,0.40964,1.09201,0,0.0007592,0.0007592,0.0007592
